OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,lat,lng,price
71648,QUIKTRIP #7149,I-24 Exit 8,Clarksville,TN,460,36.5298,-87.3595,2.92
72698,QUIKTRIP #7242,"I-10, EXIT 31",Gulfport,MS,733,30.3674,-89.0928,2.92
71779,TCI PHOENIX,"I-10, EXIT 138 & US-202, EXIT 76 ",Phoenix,AZ,930,33.4484,-112.074,2.92
70467,QUIKTRIP #598,"I-80, EXIT 439, SR-370",Omaha,NE,486,41.2565,-95.9345,2.93
69861,HUCKS FOOD & FUEL #379,"I-57, EXIT 53",Marion,IL,340,40.6331,-89.3985,2.93
69699,CIRCLE K #2741552,"SR-969, SR-130, EXIT 444",Austin                                  ,TX,595,30.2672,-97.7431,2.93
73099,Kwik Star #1296,SR 115,Harrisburg,SD,448,43.9695,-99.9018,2.94
72713,Kwik Star #1217,FM 11,Sioux Falls,SD,530,43.5446,-96.7311,2.94
72477,Racetrac #2618,US-231 & CR-8,Huntsville,AL,615,34.7304,-86.5861,2.95
66548,YESWAY #1156,US-84 & SR-289,Lubbock,TX,700,33.5779,-101.8552,2.95
5391,PWI #605,"I-10, EXIT 378",San Simon,AZ,640,34.0489,-111.0937,2.96
71027,Kwik Star #1068,I-35,Story City,IA,320,41.878,-93.0977,2.96
69156,BLU STATION,"I-55, EXIT 5A",Memphis,TN,435,35.1495,-90.049,2.97
72410,KELLEYS MARKET,I-90 Exit 15 & US-20 BUS,Rockford                                ,IL,520,42.2711,-89.094,2.97
64683,QUIKTRIP #777,"I-20, EXIT 49",Atlanta,GA,18,33.749,-84.388,2.97
63587,24/7 TRAVEL PLAZA,"I-135, EXIT 92",Salina,KS,523,38.8403,-97.6114,2.97
4533,SPEEDWAY #1449,"I-65, EXIT 262B",Birmingham                              ,AL,615,33.5186,-86.8104,2.98
66793,CIRCLE K #2723693,"I-526, EXIT 19 & SR-10-60",Charleston,SC,42,32.7765,-79.9311,2.98
72901,FATDOGS GRAND ISLAND TRAVEL CENTER,I-80 & HWY 281,Grand Island,NE,330,40.9264,-98.342,2.98
69379,Kum & Go #0535,US-6 & US-65,Des Moines,IA,320,41.5868,-93.625,2.99
72903,Kent Kwik #221,SR-338,Odessa,TX,710,31.8457,-102.3676,2.99
73013,247 TRUCK STOP,I-40 EXIT 247,Widener,AR,435,34.7999,-92.1999,3.0
4063,STUCKEY'S,"I-59, EXIT 67 & US-49",Hattiesburg,MS,620,31.3271,-89.2903,3.0
69414,FLEX MARKET,"I-65 EXIT20, US-31 W EXIT 4",Bowling Green                           ,KY,460,36.9685,-86.4808,3.0
64773,Sun Gas,US-301,Middletown,DE,243,38.9108,-75.5277,3.0
72818,QUIKTRIP #7174,"I-65, EXIT 168",Montgomery,AL,720,32.3668,-86.2999,3.0
72783,SHEETZ #770,I-70 & US-42,London,OH,315,40.4173,-82.9071,3.0
72288,S&G #88,I-475 Exit 13 & US-20,Toledo,OH,550,41.6528,-83.5379,3.01
65915,Marathon,"I-94/US-52, EXIT 346 & CR-17",West Fargo,ND,341,47.5515,-101.002,3.03
70427,PARKERS #64 (DISCOUNT AVAILABLE),SR-307,Savannah,GA,195,32.0835,-81.0998,3.03
72919,QUIKTRIP #7096,I-75 & EXIT 51,Dayton,OH,317,39.7589,-84.1916,3.03
2340,RSTORE #4478,SR-8 & SR-13,Prentice,WI,395,43.7844,-88.7879,3.04
3163,QUIKTRIP #71,"I-44, EXIT 238",Tulsa,OK,560,36.154,-95.9928,3.04
60791,MARATHON #9,"I-475, EXIT 1",Macon,GA,85,32.8407,-83.6324,3.04
71379,QUIKTRIP #7211,"I-30/US-67/US-70, EXIT 128 ",Little Rock,AR,695,34.7465,-92.2896,3.05
6051,CIRCLE K #2709846,"I-25, EXIT 240",Longmont,CO,800,39.5501,-105.7821,3.06
5691,Pilot Travel Center #666,"I-94, EXIT 30",Benton Harbor,MI,465,44.3148,-85.6024,3.06
72445,SHEETZ #639,I-80 Exit 223,Youngstown,OH,573,41.0998,-80.6495,3.06
70786,CIRCLE K #2741502,"I-37, EXIT 9",Corpus Christi,TX,625,27.8006,-97.3964,3.06
67070,CASEYS #4225,"SR-155N, EXIT 26-A",Nashville,TN,460,36.1627,-86.7816,3.06
73066,QUIKTRIP #1499,I-10 EXIT 267,Tucson,AZ,980,32.2226,-110.9747,3.06
71988,C AND W GLOBAL,SR-429 & SR-438,Winter Garden                           ,FL,140,27.6648,-81.5158,3.07
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,40.0583,-74.4057,3.08
4700,A C TRUCKSTOP,"I-80, EXIT 290",Laramie                                 ,WY,795,41.3114,-105.5911,3.08
68348,HOT SPOT #6007,"I-85, EXIT 80",Spartanburg                             ,SC,210,34.9496,-81.9321,3.09
70223,SPEEDWAY #8749,"I-75, EXIT 116",Flint,MI,342,43.0125,-83.6875,3.09
60382,WINDSTARS #5101,"I-435, EXIT 57",Kansas City,MO,400,39.0997,-94.5786,3.1
5477,CHEVRON #383766,"I-5, EXIT 216",Halsey,OR,935,43.8041,-120.5542,3.1
66286,CASEYS #4205,"I-40/75, EXIT 374",Knoxville,TN,405,35.9606,-83.9207,3.1
72909,FAT DOGS LINCOLN TC,"I-80, EXIT 399",Lincoln,NE,475,40.8136,-96.7026,3.1
71014,Global,"I-95, EXIT 43 & US-1",Elkridge,MD,22,39.0458,-76.6413,3.1
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,42.2917,-85.5872,3.1
67801,SUNOCO,"I-275, EXIT 42/SR-747",Cincinnati                              ,OH,407,39.1031,-84.512,3.1
71867,HOLIDAY STATIONSTORE #2653855,US-12,Aberdeen,SD,530,45.4647,-98.4865,3.11
63751,PETRO STOPPING CENTER #328,"I-20 & I-55, EXIT 45",Jackson,MS,620,32.2988,-90.1848,3.11
70597,SPEEDWAY #9394,SR-4 & US-25,Lexington,KY,410,38.0406,-84.5037,3.13
9542,SPINX #266,"I-26, EXIT 104",Columbia,SC,135,34.0007,-81.0348,3.13
6646,FAMILY EXPRESS #35 (DISCOUNT AVAILABLE),"I-65, EXIT 215 & SR-114",Rensselaer                              ,IN,365,40.2672,-86.1349,3.13
5979,TA LAFAYETTE TRAVEL CENTER,"I-10 & SR-182, EXIT 101",Lafayette,LA,600,30.2241,-92.0198,3.13
70296,MAVERIK COUNTRY STORE #573,SR-68 & SR-154,Riverton,UT,835,39.321,-111.0937,3.14
7226,TA LAS CRUCES TRAVEL CENTER,"I-10, EXIT 139",Las Cruces,NM,640,32.3199,-106.7637,3.14
72505,CASEYS #4379,I-59 HWY,Worthington,MN,530,46.7296,-94.6859,3.14
64044,DISCOUNT ZONE,"I-510, EXIT 240",New Orleans                             ,LA,725,29.9511,-90.0715,3.15
7088,FLYING J FRANCHISE #931,"I-90, EXIT 61",Rapid City,SD,506,44.0805,-103.231,3.16
3817,FAST MARKET,"I-25, EXIT 158",Colorado Springs,CO,803,38.8339,-104.8214,3.16
72755,RACETRAC #2620,I-465 Exit 42,Indianapolis,IN,375,39.7684,-86.1581,3.16
2029,HOMAX SERVICE,"I-25, EXIT 188",Mills                                   ,WY,790,43.076,-107.2903,3.17
72871,Maverik #727,I-8 EXIT 3,Yuma,AZ,930,32.6927,-114.6277,3.18
69892,MAVERIK COUNTRY STORE #547,US-26,Casper,WY,790,42.8501,-106.3252,3.19
73032,Parkers #110,SR 56,Augusta,GA,135,33.4735,-82.0105,3.19
70879,MAVERIK COUNTRY STORE #611,I-40 EXIT 154,Albuquerque,NM,580,35.0844,-106.6504,3.19
72669,Quiktrip #356,US-81 & S Victoria RD,Wichita,KS,570,37.6872,-97.3301,3.19
6001,ALLSUPS #2392,US-70 & US-285,Roswell,NM,700,33.3943,-104.523,3.2
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,39.1155,-94.6268,3.2
70717,Certified Oil #400491,I-270 EXIT 52,Columbus,OH,315,39.9612,-82.9988,3.2
7768,BIG D #30,"I-25/US-87, EXIT 9 & I-80, EXIT 359C & I-80 BUS/US-30",Cheyenne,WY,795,41.14,-104.8202,3.2
64569,LOVES TRAVEL STOP #624,"I-65, EXIT 8B",Mobile,AL,715,30.6954,-88.0399,3.21
61102,FAST LANE #54,US-63,Columbia,MO,310,38.9517,-92.3341,3.21
65059,ROYAL FARMS #111,"I-95, EXIT 57",Baltimore,MD,22,39.2904,-76.6122,3.21
20049,LOVES TRAVEL STOP #263,"I-44, EXIT 45 & SR-49",Lawton,OK,569,34.6036,-98.3959,3.22
66134,CIRCLE K #2721591,"I-10, EXIT 10 & US-29/SR-95",Pensacola,FL,155,30.4213,-87.2169,3.22
72533,Fuel 4,US-9,Jersey City,NJ,115,40.7178,-74.0431,3.24
70299,Mr Fuel dba Pilot Express #1149,"I-295, EXIT 41 & SR-105",Jacksonville,FL,75,30.3322,-81.6557,3.24
70246,7-Eleven #37565,SR-944 & SR-9,Miami,FL,95,25.7617,-80.1918,3.25
72562,7-ELEVEN #17703,US HWY 11,Martinsburg,WV,70,38.5976,-80.4549,3.25
20050,LOVES TRAVEL STOP #260,"I-35, EXIT 106 & SR-9 W",Norman,OK,483,35.2226,-97.4395,3.25
7535,GIANT #198,"I-4/SR-400, EXIT 7 & US-301/SR-41",Tampa,FL,225,27.9506,-82.4572,3.26
72644,MAVERIK COUNTRY STORE #642,I-25 EXIT 262,Fort Collins,CO,800,40.5853,-105.0844,3.26
71051,SHEETZ #683,I-83 EXIT 28,York,PA,70,41.2033,-77.1945,3.26
72224,RAYMOND TRUCK STOP,US-1/US-9,Newark,NJ,115,40.7357,-74.1724,3.26
73056,CIRCLE K #2723033,"I-295, EXIT 21A & I-95",Fayetteville,NC,205,35.0527,-78.8784,3.28
72965,Maverik #674,"I-15, Exit 45",North Las Vegas,NV,910,38.8026,-116.4194,3.28
70638,LOVES TRAVEL STOP #769,"I-70, EXIT 358A & US-75",Topeka,KS,570,39.0558,-95.689,3.28
72681,MAVERIK #691,I-76 EXIT 3,Denver,CO,800,39.7392,-104.9903,3.28
72906,Maverik #734,I-25 EXIT 94,Pueblo,CO,796,38.2544,-104.6091,3.29
71807,KWIK TRIP #1270,SR-172,Green Bay,WI,582,44.5133,-88.0133,3.29
71512,RACETRAC #2603,Country Road 527,Orlando,FL,140,28.5383,-81.3792,3.3
67794,ROAD RANGER #181,"I-55, EXIT 90",Springfield,IL,318,39.7817,-89.6501,3.3
66474,FAMCO EXPRESS,"I-690, EXIT 8",Syracuse,NY,235,43.0481,-76.1474,3.3
5597,CM LAKE CHARLES FUEL STOP 36,"I-10, EXIT 36 & SR-397",Lake Charles,LA,690,30.2266,-93.2174,3.3
72623,LENNYS FOOD N FUEL,US-6,Joliet,IL,296,41.525,-88.0817,3.3
71435,QUIKTRIP #1036,I-85 Exit 40,Charlotte,NC,46,35.2271,-80.8431,3.3
72263,SPARTAN FUELS,US-80 & SR-22,Columbus,GA,50,32.461,-84.9877,3.31
68826,HIGHWAY SERVICE,US-44,Seekonk                                 ,MA,175,42.4072,-71.3824,3.32
71368,Kwik Star #1071,I-280 E and US-61 N,Davenport,IA,270,41.5236,-90.5776,3.32
52230,ONE9 #294,"I-15 & I-84, EXIT 344 SR-39",Ogden                                   ,UT,835,41.223,-111.9738,3.33
72046,CHEVRON DBA ONE9 #1429,US-30 & US-95,Fruitland                               ,ID,785,44.0682,-114.742,3.35
64724,TOBOS TRAVEL CENTER,"I-540, EXIT 58",Fayetteville                            ,AR,735,36.0626,-94.1574,3.35
71410,Flyers #3213,"US-60, Exit 181",Mesa,AZ,930,33.4152,-111.8315,3.35
71449,MAVERIK COUNTRY STORE #628,I-15 & CR-215,Las Vegas                               ,NV,910,36.1699,-115.1398,3.36
63599,PWI #978,"I-215, EXIT 21",Salt Lake City,UT,835,40.7608,-111.891,3.36
69455,SPEEDWAY #4214,"I-45, EXIT 46 & US-100",Milwaukee,WI,448,43.0389,-87.9065,3.37
3464,BOISE PETROLEUM LLC,"I-84,  EXIT 71",Boise,ID,785,43.615,-116.2023,3.38
69176,FLYING J TRAVEL PLAZA #1015- TOWN PUMP,SR-200/SR-16 & CR-123,Sidney,MT,780,46.8797,-110.3626,3.38
6721,STAMART 1222,"I-29, EXIT 64",Fargo,ND,341,46.8772,-96.7898,3.39
66376,SUBS AND GRUBS,"I-63, EXIT 39",Jonesboro,AR,435,35.8423,-90.7043,3.39
73044,Maverik #732,"US 20, EXIT 310",Idaho Falls,ID,825,43.4927,-112.0408,3.39
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,35.3859,-94.3985,3.4
4563,PILOT TRAVEL CENTER #299,"I-55/I-74/US-51, EXIT 160 & US-150/SR-9",Bloomington                             ,IL,280,40.4842,-88.9937,3.4
73127,Gas N Wash,"I-55, EXIT 285",Chicago                                 ,IL,290,41.8781,-87.6298,3.4
7545,CITGO,"I-95, EXIT 40",Milford,CT,100,41.6032,-73.0877,3.4
72192,MASSEY FUEL,"I-95, EXIT 30",Bridgeport,CT,100,41.1865,-73.1952,3.4
70078,KWIK TRIP #573,I-94 & CR-EE,Eau Claire,WI,295,44.8113,-91.4985,3.4
60579,SPEEDWAY #4633,US-220/US-221/US-460,Roanoke,VA,185,37.271,-79.9414,3.4
71245,MAVERIK COUNTRY STORE #651,"I-15, EXIT 67 & US-30",Pocatello,ID,825,42.8713,-112.4455,3.4
72343,WOLF DEN,US-97,Wapato,WA,925,47.7511,-120.7401,3.41
71208,RACEWAY #6789,US-301 & SR-150,Richmond                                ,VA,180,37.5407,-77.436,3.43
7004,FRANKS TRUCKING CENTER,"I-264, EXIT 13B",Chesapeake,VA,130,36.7682,-76.2875,3.45
70017,PACIFIC PRIDE,I-79 & US-19,Morgantown                              ,WV,430,39.6295,-79.9559,3.46
4544,BIG CHARLIES TRUCK PLAZA,"I-64, EXIT 282 & US-13",Virginia Beach,VA,130,36.8529,-75.978,3.49
60324,FUEL MART OF AMERICA,"I-75, EXIT 59",Detroit                                 ,MI,325,42.3314,-83.0458,3.5
20014,SIMONS EXIT 16,"I-89, EXIT 16",Enfield                                 ,NH,39,43.1939,-71.5724,3.5
64221,BELL STORES #49,"I-76E, EXIT 25B",Akron,OH,249,41.0814,-81.519,3.5
69234,KWIK TRIP #220,US-53/SR-194,Duluth,MN,334,46.7867,-92.1005,3.5
67685,CASEYS #2792,"I-380/US-218, EXIT 13",Cedar Rapids,IA,380,41.9779,-91.6656,3.5
70655,GOLDEN GATE PETROLEUM,US-6,Grand Junction,CO,810,39.0639,-108.5506,3.5
2926,EXIT 77 TRAVEL PLAZA,"I-81, EXIT 77 & SR-39",Harrisburg,PA,70,40.2732,-76.8867,3.5
6885,GO MART FOOD STORE #31,"I-77, EXIT 95 & SR-61",Charleston                              ,WV,44,38.3498,-81.6326,3.5
2021,GO MART FOOD STORE #59,"I-64, EXIT 15 & US-60",Huntington,WV,255,38.4193,-82.445,3.5
72075,CITGO SAMS FOOD STORE,"US-5, Exit 87",Hartford                                ,CT,100,41.7658,-72.6851,3.5
65074,CIRCLE K #4707004,"I-95, EXIT 244 & SR-157",Medway,ME,170,45.2538,-69.4455,3.5
71401,KWIK TRIP #1169,"I-694, EXIT 52B & SR-36",Saint Paul,MN,448,44.9537,-93.09,3.52
67158,GOLDEN GATE AUTO TRUCK PLAZA,"I-80 , EXIT 32",Sparks,NV,966,39.5349,-119.7527,3.54
69629,SWANTON MOBIL,"I-89, EXIT 21 & SR-78",Swanton,VT,39,44.5588,-72.5778,3.54
6725,TA EXPRESS GRAND FORKS #948,"I-29, EXIT 141 & US-2",Grand Forks,ND,355,47.9253,-97.0329,3.54
6593,LITTLE AMERICA TRAVEL CENTER,"I-40, EXIT 198",Flagstaff,AZ,930,35.1983,-111.6513,3.54
67192,KWIK TRIP #464,US-63,Rochester,MN,515,44.0121,-92.4802,3.54
71112,BERKSHIRE ENERGY,"I-91, EXIT 8 & SR-80",New Haven,CT,100,41.3083,-72.9279,3.55
67143,ALL AMERICAN STORES #7,US-30,Fort Wayne,IN,370,41.1306,-85.1294,3.56
67356,PRIDE CONVENIENCE STORE,"I-91, EXIT 8 & US-20",Springfield,MA,100,42.1015,-72.5898,3.56
68298,MR FUEL #719,"I-80, EXIT 6",Gary,IN,365,41.5934,-87.3469,3.57
64508,QUICK FUEL #1150,US-51 & SR-30,Madison,WI,420,43.0731,-89.4012,3.58
73053,Circle K #2746108,"I-90/US-212, EXIT 447",Billings,MT,780,45.7833,-108.5007,3.58
61571,7-ELEVEN #40280,MILE MARKER 55 NE EXT PENN TPKE,Allentown,PA,90,40.6084,-75.4902,3.59
70301,GOLDEN GATE TRUCKSTOP,I-80 & SR-535,Elko,NV,787,40.8324,-115.7631,3.6
62462,HAWESWAY TRUCKSTOP,US-60,Owensboro,KY,487,37.7719,-87.1112,3.6
73021,Circle K #2746245,I 35W EXIT 6,Minneapolis,MN,448,44.9778,-93.265,3.6
70978,QUARLES #4829,I-40 EXIT 298A,Raleigh,NC,177,35.7796,-78.6382,3.6
7406,PILOT TRAVEL CENTER #594,"I-29, EXIT 143",Sioux City,IA,527,42.4999,-96.4003,3.61
67612,FLYING J TRAVEL PLAZA #914- TOWN PUMP,"I-90, EXIT 96 & US-93/SR-200",Missoula,MT,820,46.8721,-113.994,3.61
52344,STAMART 1224,"I-94, EXIT 166",Bismarck,ND,273,46.8083,-100.7837,3.62
69207,CIRCLE K #2705988,"I-10, EXIT 209A & US-90/SR-10",Tallahassee,FL,20,30.4383,-84.2807,3.62
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,815,47.5002,-111.3008,3.64
73028,PETRO HENDERSON #968,"I-11, EXIT 15A",Henderson,NV,910,36.0395,-114.9817,3.64
69524,CONCORD XTRAMART,"I-93, EXIT 17 & US-4",Concord,NH,178,43.2081,-71.5376,3.66
72970,PAC PRIDE,"I-96, Exit 26",Grand Rapids,MI,371,42.9634,-85.6681,3.66
7179,JIMS TRUCK PLAZA,"I-90, EXIT 52E",Buffalo                                 ,NY,38,42.8864,-78.8784,3.66
60902,SPEEDWAY #6674,"I-80/I-90, EXIT 72 & SR-31",South Bend,IN,465,41.6764,-86.252,3.69
69437,CountryMark,SR-66,Evansville                              ,IN,340,37.9716,-87.5711,3.7
69562,SPEEDWAY #8796,"I-496, EXIT 11",Lansing,MI,406,42.7325,-84.5555,3.7
70440,MOUND MINI MART,I-696,Warren,MI,325,42.5145,-83.0146,3.7
69888,OASIS STOP N GO #17,US-30,Twin Falls,ID,787,42.5629,-114.4609,3.7
1960,MAPLEWOOD IRVING,"I-89, EXIT 7",Montpelier                              ,VT,170,44.2601,-72.5754,3.7
71366,AMOCO,SR 31,Kenosha,WI,444,42.5847,-87.8212,3.72
65075,CIRCLE K #4707017,"I-95, EXIT 48",Portland,ME,170,43.6591,-70.2568,3.74
63013,TA WEST GREENWICH,"I-95, EXIT 5B",West Greenwich,RI,175,41.6809,-71.5118,3.77
65406,MOBIL,"I-90/SR-2, EXIT 182B",Cleveland,OH,305,41.4993,-81.6944,3.77
72241,ROYAL FARMS #242,I-95 Exit 27,Philadelphia,PA,160,39.9526,-75.1652,3.8
64153,SPEEDWAY #6972,US-70,Durham,NC,177,35.994,-78.8986,3.8
7353,DYSARTS SERVICE,"I-95, EXIT 44",Bangor,ME,26,44.8016,-68.7712,3.8
71285,Shrees Truck Stop Seattle,SR-509,Seattle,WA,962,47.6062,-122.3321,3.8
3728,PLAZA 23 TRUCK STOP,"I-787, EXIT 2",Albany,NY,12,42.6526,-73.7562,3.8
68989,QUARLES #4907,SR-166,Norfolk,VA,130,36.8508,-76.2859,3.81
52630,PILOT TRAVEL CENTERS #386,"I-5, EXIT 263",Salem,OR,935,44.9429,-123.0351,3.86
7147,JUBITZ TRAVEL PLAZA,"I-5, EXIT 307",Portland,OR,935,45.5051,-122.675,3.86
72571,MAVERIK #719,I-82 EXIT 33,Yakima,WA,962,46.6021,-120.5059,3.9
72582,FASTRAC MARKET #500242,SR-12 & SR-5A,Utica,NY,235,43.1009,-75.2327,3.9
67925,CHEVRON,US-61,Baton Rouge                             ,LA,600,30.4515,-91.1871,3.9
70662,GETGO #3202,I-79 EXIT 183A,Erie,PA,240,42.1292,-80.0851,3.9
67645,CIRCLE K #2721416,US-441 & SR-20,Gainesville,FL,75,29.6516,-82.3248,3.9
64206,SUNOCO WOODROW WILSON PLAZA #7010,"NJTP, EXIT 7",Trenton,NJ,150,40.2171,-74.7429,3.9
69353,SPEEDWAY #2910,"I-79, EXIT 55",Pittsburgh,PA,165,40.4406,-79.9959,3.91
6994,FLYING J FRANCHISE #967,"I-90, EXIT 286",Spokane,WA,970,47.6588,-117.426,3.93
68169,GOLDEN GATE GOLDEN VALLEY,"US-395, EXIT 73",Reno,NV,966,39.5296,-119.8138,3.95
73078,Shelee's Travel Center,"I-10, Exit 146",Coachella,CA,900,36.7783,-119.4179,3.95
52474,PILOT TRAVEL CENTERS #17,"I-94, EXIT 104",Battle Creek,MI,406,42.3212,-85.1797,3.96
61410,KWIK FILL #58,ST 15,Rochester                               ,NY,190,43.1566,-77.6088,3.97
66718,Bartonville SHELL,"I-474, EXIT 6",Peoria,IL,368,40.6936,-89.589,4.3
6986,LOVES TRAVEL STOPS #448,"I-5, EXIT 136B, SR-509",Tacoma,WA,977,47.2529,-122.4443,4.59
